time,bpm
2023-11-05 20:07:50.222 +0900 JST,69
2023-05-29 15:55:51 +0900 JST,75
2023-05-29 15:55:56 +0900 JST,74
2023-05-29 15:55:58 +0900 JST,75
2023-05-29 15:55:59 +0900 JST,74
2023-05-29 15:56:01 +0900 JST,75
2023-05-29 15:56:06 +0900 JST,76
2023-05-29 15:56:13 +0900 JST,77
2023-05-29 15:56:19 +0900 JST,78
2023-05-29 15:56:21 +0900 JST,79
2023-05-29 15:56:26 +0900 JST,78
2023-05-29 15:56:32 +0900 JST,79
2023-05-29 15:56:35 +0900 JST,77
2023-05-29 15:56:33 +0900 JST,78
2023-05-29 15:56:40 +0900 JST,79
2023-05-29 15:56:41 +0900 JST,78
2023-05-29 15:56:42 +0900 JST,79
2023-05-29 15:56:46 +0900 JST,78
2023-05-29 15:56:47 +0900 JST,77
2023-05-29 15:56:59 +0900 JST,75
2023-05-29 15:56:57 +0900 JST,76
2023-05-29 15:57:03 +0900 JST,76
2023-05-29 15:57:05 +0900 JST,75
2023-05-29 15:57:17 +0900 JST,76
2023-05-29 15:57:23 +0900 JST,76
2023-05-29 15:57:27 +0900 JST,76
2023-05-29 15:57:28 +0900 JST,77
2023-05-29 15:57:38 +0900 JST,80
2023-05-29 15:57:37 +0900 JST,79
2023-05-29 15:57:40 +0900 JST,82
2023-05-29 15:57:42 +0900 JST,81
2023-05-29 15:57:44 +0900 JST,79
2023-05-29 15:57:46 +0900 JST,78
2023-05-29 15:57:49 +0900 JST,77
2023-05-29 15:57:50 +0900 JST,76
2023-05-29 15:57:58 +0900 JST,74
2023-05-29 15:58:05 +0900 JST,73
2023-05-29 15:58:09 +0900 JST,72
2023-05-29 15:58:13 +0900 JST,73
2023-05-29 15:58:18 +0900 JST,74
2023-05-29 15:58:20 +0900 JST,75
2023-05-29 15:58:22 +0900 JST,76
2023-05-29 15:58:26 +0900 JST,75
2023-05-29 15:58:28 +0900 JST,76
2023-05-29 15:58:29 +0900 JST,75
2023-05-29 15:58:32 +0900 JST,76
2023-05-29 15:58:37 +0900 JST,76
2023-05-29 15:58:33 +0900 JST,75
2023-05-29 15:58:40 +0900 JST,78
2023-05-29 15:58:41 +0900 JST,77
2023-05-29 15:58:45 +0900 JST,78
2023-05-29 15:58:46 +0900 JST,79
2023-05-29 15:58:49 +0900 JST,80
2023-05-29 15:58:56 +0900 JST,79
2023-05-29 15:58:58 +0900 JST,78
2023-05-29 15:58:59 +0900 JST,77
2023-05-29 15:59:03 +0900 JST,76
2023-05-29 15:59:09 +0900 JST,75
2023-05-29 15:59:10 +0900 JST,74
2023-05-29 15:59:24 +0900 JST,73
2023-05-29 15:59:30 +0900 JST,72
2023-05-29 15:59:33 +0900 JST,73
2023-05-29 15:59:40 +0900 JST,74
2023-05-29 15:59:42 +0900 JST,75
2023-05-29 15:59:56 +0900 JST,72
2023-05-29 16:00:00 +0900 JST,71
2023-05-29 16:00:09 +0900 JST,73
2023-05-29 16:00:10 +0900 JST,74
2023-05-29 16:00:14 +0900 JST,73
2023-05-29 16:00:18 +0900 JST,74
2023-05-29 16:00:21 +0900 JST,72
2023-05-29 16:00:22 +0900 JST,73
2023-05-29 16:00:24 +0900 JST,74
2023-05-29 16:00:27 +0900 JST,73
2023-05-29 16:00:31 +0900 JST,72
2023-05-29 16:00:39 +0900 JST,73
2023-05-29 16:00:41 +0900 JST,74
2023-05-29 16:00:44 +0900 JST,76
2023-05-29 16:00:45 +0900 JST,77
2023-05-29 16:00:46 +0900 JST,78
2023-05-29 16:00:47 +0900 JST,79
2023-05-29 16:00:49 +0900 JST,80
2023-05-29 16:00:51 +0900 JST,79
2023-05-29 16:00:53 +0900 JST,80
2023-05-29 16:00:59 +0900 JST,79
2023-05-29 16:01:02 +0900 JST,78
2023-05-29 16:01:03 +0900 JST,77
2023-05-29 16:01:04 +0900 JST,76
2023-05-29 16:01:05 +0900 JST,77
2023-05-29 16:01:16 +0900 JST,76
2023-05-29 16:01:17 +0900 JST,77
2023-05-29 16:01:18 +0900 JST,76
2023-05-29 16:01:21 +0900 JST,75
2023-05-29 16:01:31 +0900 JST,77
2023-05-29 16:01:42 +0900 JST,76
2023-05-29 16:01:46 +0900 JST,75
2023-05-29 16:01:49 +0900 JST,74
2023-05-29 16:02:04 +0900 JST,73
2023-05-29 16:02:12 +0900 JST,74
2023-05-29 16:02:16 +0900 JST,74
2023-05-29 16:02:17 +0900 JST,75
2023-05-29 16:02:18 +0900 JST,76
2023-05-29 16:02:19 +0900 JST,77
2023-05-29 16:02:21 +0900 JST,76
2023-05-29 16:02:25 +0900 JST,75
2023-05-29 16:02:30 +0900 JST,78
2023-05-29 16:02:31 +0900 JST,80
2023-05-29 16:02:32 +0900 JST,81
2023-05-29 16:02:34 +0900 JST,82
2023-05-29 16:02:35 +0900 JST,83
2023-05-29 16:02:44 +0900 JST,81
2023-05-29 16:02:48 +0900 JST,80
2023-05-29 16:02:49 +0900 JST,79
2023-05-29 16:02:51 +0900 JST,78
2023-05-29 16:02:55 +0900 JST,75
2023-05-29 16:03:02 +0900 JST,73
2023-05-29 16:03:03 +0900 JST,74
2023-05-29 16:03:07 +0900 JST,76
2023-05-29 16:03:09 +0900 JST,77
2023-05-29 16:03:23 +0900 JST,76
2023-05-29 16:03:28 +0900 JST,77
2023-05-29 16:03:32 +0900 JST,78
2023-05-29 16:03:37 +0900 JST,76
2023-05-29 16:03:35 +0900 JST,77
2023-05-29 16:03:40 +0900 JST,75
2023-05-29 16:03:42 +0900 JST,76
2023-05-29 16:03:44 +0900 JST,75
2023-05-29 16:03:45 +0900 JST,77
2023-05-29 16:03:46 +0900 JST,76
2023-05-29 16:03:50 +0900 JST,77
2023-05-29 16:04:02 +0900 JST,78
2023-05-29 16:04:03 +0900 JST,79
2023-05-29 16:04:04 +0900 JST,80
2023-05-29 16:04:09 +0900 JST,79
2023-05-29 16:04:12 +0900 JST,77
2023-05-29 16:04:16 +0900 JST,75
2023-05-29 16:04:22 +0900 JST,76
2023-05-29 16:04:27 +0900 JST,77
2023-05-29 16:04:31 +0900 JST,76
2023-05-29 16:04:32 +0900 JST,77
2023-05-29 16:04:37 +0900 JST,79
2023-05-29 16:04:35 +0900 JST,79
2023-05-29 16:04:43 +0900 JST,82
2023-05-29 16:04:44 +0900 JST,83
2023-05-29 16:04:46 +0900 JST,84
2023-05-29 16:04:48 +0900 JST,86
2023-05-29 16:04:49 +0900 JST,87
2023-05-29 16:04:50 +0900 JST,89
2023-05-29 16:04:51 +0900 JST,91
2023-05-29 16:04:53 +0900 JST,93
2023-05-29 16:04:54 +0900 JST,95
2023-05-29 16:04:59 +0900 JST,89
2023-05-29 16:04:58 +0900 JST,96
2023-05-29 16:05:00 +0900 JST,83
2023-05-29 16:05:03 +0900 JST,84
2023-05-29 16:05:07 +0900 JST,82
2023-05-29 16:05:11 +0900 JST,80
2023-05-29 16:05:14 +0900 JST,81
2023-05-29 16:05:16 +0900 JST,83
2023-05-29 16:05:17 +0900 JST,84
2023-05-29 16:05:18 +0900 JST,86
2023-05-29 16:05:21 +0900 JST,87
2023-05-29 16:05:22 +0900 JST,86
2023-05-29 16:05:25 +0900 JST,84
2023-05-29 16:05:30 +0900 JST,85
2023-05-29 16:05:31 +0900 JST,86
2023-05-29 16:05:32 +0900 JST,85
2023-05-29 16:05:35 +0900 JST,83
2023-05-29 16:05:39 +0900 JST,79
2023-05-29 16:05:34 +0900 JST,84
2023-05-29 16:05:41 +0900 JST,78
2023-05-29 16:05:46 +0900 JST,77
2023-05-29 16:05:48 +0900 JST,78
2023-05-29 16:05:49 +0900 JST,77
